time,slave_id,packet_loss_probability,actual_loss_rate,information_age,predecessor_state_time,predecessor_position,slave_position,predecessor_velocity,slave_velocity,actual_distance,desired_distance,distance_error,velocity_error,acceleration,total_packets,received_packets,lost_packets
14.199999999999966,3,0.2,0.1773049645390071,0.09999999999999964,14.099999999999966,220.4568010034265,195.95131066117153,16.881543991807902,17.978377204954803,26.303328062750467,27.68613306482893,-1.382805002078463,-1.2673624600552422,-1.7052924690834252,141,116,25
14.299999999999965,3,0.2,0.176056338028169,0.0,14.299999999999965,223.7989135831715,197.74023350183714,16.62987259134121,17.889228406656038,27.847602921999965,27.472971506193502,0.3746314158064621,-1.348504613613592,-0.8914879829876428,142,117,25
14.399999999999965,3,0.2,0.18181818181818182,0.09999999999999964,14.299999999999965,223.7989135831715,199.5125672188453,16.62987259134121,17.723337170081567,26.05868008133436,27.361535508320046,-1.302855426985687,-1.2593558153148265,-1.6589123657447047,143,117,26
14.499999999999964,3,0.2,0.18055555555555555,0.0,14.499999999999964,227.09738514720237,201.27682515331722,16.444710311955472,17.642579344719234,27.58481792835707,27.15417146260196,0.43064646575511034,-1.2786268581260956,-0.8075782536233214,144,118,26
14.599999999999964,3,0.2,0.1793103448275862,0.0,14.599999999999964,228.7318197255044,203.032706071252,16.344345783020206,17.55880917934772,27.45499457218719,27.053224180899043,0.40177039128814585,-1.2982335616990284,-0.8377016537151498,145,119,26
14.699999999999964,3,0.2,0.1780821917808219,0.0,14.699999999999964,230.3494758725587,204.77937029915194,16.176561470543113,17.466642278999455,27.31676980130672,26.94851147418465,0.36825832712207074,-1.3822477088046057,-0.9216690034826491,146,120,26
14.799999999999963,3,0.2,0.17687074829931973,0.0,14.799999999999963,231.95710868441003,206.51663419145052,16.076328118513203,17.372638922985992,27.177738385258095,26.83330284874932,0.3444355365087759,-1.390314160486252,-0.9400335601346137,147,121,26
14.899999999999963,3,0.2,0.17567567567567569,0.0,14.899999999999963,233.55420556234898,208.2442935861862,15.970968779389477,17.27659394735657,27.037571370898462,26.71579865373249,0.32177271716597033,-1.4016701435965153,-0.9604497562942271,148,122,26
14.999999999999963,3,0.2,0.174496644295302,0.0,14.999999999999963,235.14029496451394,209.96212867623686,15.860894021649585,17.178350900506615,26.896001378327753,26.595742434195714,0.3002589441320396,-1.4156999257069849,-0.9824304684995682,149,123,26
15.099999999999962,3,0.2,0.17333333333333334,0.0,15.099999999999962,236.71505216534948,211.6699174594677,15.747572008355398,17.077887832308484,26.752923489112618,26.47293862563327,0.27998486347934914,-1.430778892151217,-1.0046306819812991,150,124,26
15.199999999999962,3,0.2,0.17880794701986755,0.09999999999999964,15.099999999999962,236.71505216534948,213.36055259068442,15.747572008355398,16.906351312167047,25.045134705881765,26.347359790385603,-1.3022250845038386,-1.330315823953086,-1.715365201414388,151,124,27
15.299999999999962,3,0.2,0.17763157894736842,0.0,15.299999999999962,239.80651402950892,215.0402456878543,15.342958119680661,16.79693097169892,26.445961438824497,26.13293914020881,0.31302229861568875,-1.5633931924863855,-1.094203404681264,152,125,27
15.399999999999961,3,0.2,0.17647058823529413,0.0,15.399999999999961,241.33127873567756,216.7090188604101,15.247647061686298,16.68773172555789,26.291033047823248,25.99616371462365,0.29486933319959974,-1.5492839100126226,-1.0919924614102983,153,126,27
15.499999999999961,3,0.2,0.17532467532467533,0.0,15.499999999999961,242.84640287161926,218.36688870680808,15.151241359417151,16.57869846397972,26.13738401120915,25.85966465694736,0.27771935426179084,-1.5364903661407379,-1.090332615781695,154,127,27
15.59999999999996,3,0.2,0.17419354838709677,0.0,15.59999999999996,244.35185142031315,220.01387279755738,15.054485486938804,16.469840907492966,25.98496271350507,25.72337307997465,0.26158963353042,-1.524212977040916,-1.088575564867523,155,128,27
15.69999999999996,3,0.2,0.1794871794871795,0.09999999999999964,15.59999999999996,244.35185142031315,221.6432874323842,15.054485486938804,16.29414634826811,24.33797862275577,25.587301134366207,-1.249322511610437,-1.415355420554162,-1.7569455922485482,156,128,28
15.79999999999996,3,0.2,0.18471337579617833,0.1999999999999993,15.59999999999996,244.35185142031315,223.24948918558334,15.054485486938804,16.062017531991458,22.708563987928954,25.36768293533514,-2.659118947406185,-1.2396608613293072,-2.321288162766538,157,128,29
15.89999999999996,3,0.2,0.18354430379746836,0.0,15.89999999999996,248.80920947463045,224.847674156021,14.758545703016809,15.981849704376375,25.559720289047107,25.077521914989322,0.4821983740577842,-1.303471828974649,-0.8016782761508272,158,129,29
15.99999999999996,3,0.2,0.18238993710691823,0.0,15.99999999999996,250.2754823147791,226.43755863617693,14.662728401486646,15.898844801559578,25.427808158758126,24.97731213047047,0.450496028287656,-1.3191213028897284,-0.8300490281679547,159,130,29
16.09999999999996,3,0.2,0.1875,0.09999999999999964,15.99999999999996,250.2754823147791,228.01237602351557,14.662728401486646,15.74817387338638,23.83792367860218,24.873556001949474,-1.0356323233472935,-1.236116400072932,-1.5067092817319925,160,130,30
16.19999999999996,3,0.2,0.18633540372670807,0.0,16.19999999999996,253.1789373749982,229.5793760743429,14.470166803377769,15.670000508273175,25.166561351482642,24.685217341732976,0.48134400974966596,-1.278007070008611,-0.7817336511320558,161,131,30
16.29999999999996,3,0.2,0.18518518518518517,0.0,16.29999999999996,254.61693080000546,231.13830586555622,14.379934250072624,15.589297912133185,25.037554725662574,24.587500635341467,0.45005409032110677,-1.2900662582005502,-0.8070259613998869,162,132,30
16.399999999999963,3,0.2,0.18404907975460122,0.0,16.399999999999963,256.04628531203036,232.688976419716,14.293545120248778,15.506705541597816,24.907979446474144,24.48662239016648,0.42135705630766296,-1.2957527918844072,-0.8259237053536943,163,133,30
16.499999999999964,3,0.2,0.18292682926829268,0.0,16.499999999999964,257.4673713945595,234.23125528138456,14.210860825291498,15.422788616685622,24.778394974843508,24.38338192699727,0.3950130478462377,-1.295844716306318,-0.8391692491219356,164,134,30
16.599999999999966,3,0.2,0.18181818181818182,0.0,16.599999999999966,258.8742618683834,235.76452567610627,14.068904738239171,15.332703947216999,24.643006586998865,24.278485770857028,0.3645208161418374,-1.3538838784464513,-0.9008466946862423,165,135,30
16.699999999999967,3,0.2,0.18674698795180722,0.10000000000000142,16.599999999999966,258.8742618683834,237.28240495844744,14.068904738239171,15.178792823411568,23.109736192277154,24.16587993402125,-1.0561437417440942,-1.2637992089778276,-1.5391112380543093,166,135,31
16.79999999999997,3,0.2,0.18562874251497005,0.0,16.79999999999997,261.6683449516862,238.7924228358379,13.93833660209105,15.100178773904641,24.385939993238765,23.97349102926446,0.4124489639743061,-1.2404562213205175,-0.786140495069261,167,136,31
16.89999999999997,3,0.2,0.18452380952380953,0.0,16.89999999999997,263.04970792692075,240.2940586291744,13.813629752345562,15.016357933365017,24.25728509108285,23.875223467380803,0.38206162370204666,-1.286549021559079,-0.8382084053962398,168,137,31
16.99999999999997,3,0.2,0.1834319526627219,0.0,16.99999999999997,264.42549441527325,241.78743141995915,13.757864883525084,14.933727907847452,24.131435786098848,23.770447416706272,0.36098836939257595,-1.2584930498399327,-0.8263002551756582,169,138,31
17.099999999999973,3,0.2,0.18235294117647058,0.0,17.099999999999973,265.78962013368266,243.27213958909843,13.641257184093899,14.847081691392876,24.002188713723513,23.667159884809315,0.33502882891419716,-1.2924707237535529,-0.8664621645457438,170,139,31
17.199999999999974,3,0.2,0.18128654970760233,0.0,17.199999999999974,267.14956501483675,244.7484595617564,13.599448811540865,14.763199726579577,23.877425425738323,23.558852114241095,0.3185733114972287,-1.247632879852011,-0.8388196481329946,171,140,31
17.299999999999976,3,0.2,0.18023255813953487,0.0,17.299999999999976,268.50543641674074,246.21665853473783,13.558714019039737,14.681989729814383,23.756976854984345,23.453999658224472,0.30297719675987267,-1.20448570753984,-0.8120999676519358,172,141,31
17.399999999999977,3,0.2,0.1791907514450867,0.0,17.399999999999977,269.8573419467063,247.6769950135265,13.519055299655731,14.603364787886715,23.640683411968467,23.352487162267977,0.2881962497004906,-1.1629344301586517,-0.7862494192766761,173,142,31
17.49999999999998,3,0.2,0.1781609195402299,0.0,17.49999999999998,271.19908721383484,249.1291836264596,13.417452671285668,14.52188612933113,23.52209220030835,23.254205984858395,0.2678862154499555,-1.1859121166010471,-0.81478658555586,174,143,31
17.59999999999998,3,0.2,0.18285714285714286,0.10000000000000142,17.49999999999998,271.19908721383484,250.5671245013569,13.417452671285668,14.37940874897306,22.06990358737525,23.152357661663913,-1.0824540742886626,-1.1044334580454613,-1.4247738035807003,175,143,32
17.69999999999998,3,0.2,0.18181818181818182,0.0,17.69999999999998,273.87358507228464,251.99853699507264,13.355736329583795,14.314124937157489,23.306460570927754,22.974260936216325,0.3321996347114293,-1.0236724193892641,-0.6528381181556967,176,144,32
17.799999999999983,3,0.2,0.1807909604519774,0.0,17.799999999999983,275.2059457322141,253.42359910491396,13.323606599294825,14.250621098413205,23.207408737141463,22.892656171446863,0.31475256569460086,-0.9905183378626639,-0.6350383874428307,177,145,32
17.899999999999984,3,0.2,0.1797752808988764,0.0,17.899999999999984,276.5346888277063,254.84244476035624,13.287430954922062,14.188456554422705,23.111089722792343,22.813276373016507,0.2978133497758364,-0.9631901434911434,-0.6216454399049965,178,146,32
17.999999999999986,3,0.2,0.18435754189944134,0.10000000000000142,17.899999999999984,276.5346888277063,256.24886557787414,13.287430954922062,14.064208175178738,21.69224406735006,22.735570693028382,-1.043326625678322,-0.9010255995006435,-1.2424837924396759,179,146,33
18.099999999999987,3,0.2,0.18333333333333332,0.0,18.099999999999987,279.1728738598937,257.64960181050543,13.138792524951864,14.007362326312894,22.924008282019543,22.58026021897342,0.34374806304612093,-0.9254156502268742,-0.568458488658439,180,147,33
18.19999999999999,3,0.2,0.1878453038674033,0.10000000000000142,18.099999999999987,279.1728738598937,259.03845983043334,13.138792524951864,13.888580199278868,21.523272049388254,22.509202907891115,-0.9859308585028614,-0.8685698013610299,-1.1878212703402546,181,147,34
18.29999999999999,3,0.2,0.18681318681318682,0.0,18.29999999999999,281.79301297083543,260.4228886416154,13.088786673984098,13.844288111820463,22.754553140402095,22.360725249098586,0.39382789130350915,-0.7997935252947705,-0.44292087458406193,182,148,34
18.39999999999999,3,0.2,0.1912568306010929,0.10000000000000142,18.29999999999999,281.79301297083543,261.79659726224196,13.088786673984098,13.737086206265777,21.37012432922006,22.30536013977558,-0.9352358105555183,-0.7555014378363651,-1.0720190555468512,183,148,35
18.499999999999993,3,0.2,0.19021739130434784,0.0,18.499999999999993,284.4043945481719,263.1669661497521,13.04684486164925,13.703688875101342,22.607797285929962,22.171357757832222,0.4364395280977398,-0.6902413446165276,-0.3339733116443523,184,149,35
18.599999999999994,3,0.2,0.1891891891891892,0.0,18.599999999999994,285.7008298031128,264.53344160945414,12.9643525494091,13.664754597020163,22.533863653360697,22.129611093876676,0.4042525594840214,-0.7393363256922427,-0.38934278081178353,185,150,35
