time,leader_position,follower_position,leader_velocity,follower_velocity,distance_error
4.200000000000001,110.0,83.74627666565303,20.0,22.060391129169535,1.2903337038083649
4.300000000000001,112.0,85.94179931056252,20.0,21.955226449094845,1.1933322051774375
4.4,114.0,88.12719501508096,20.0,21.853957045184387,1.1029742403426397
4.5,116.0,90.3028533029366,20.0,21.75658287855637,1.0188479397346555
4.6,118.0,92.46916174685632,20.0,21.66308443919721,0.9405638185070337
4.699999999999999,120.0,94.62650428433219,20.0,21.573425374758756,0.8677538139464751
4.799999999999999,122.0,96.77525977051454,20.0,21.487554861823508,0.800070340909059
4.899999999999999,124.0,98.9158007446406,20.0,21.405409741260726,0.7371853676619544
4.999999999999998,126.0,101.04849238840708,20.0,21.326916437664803,0.6787895140986677
5.099999999999998,128.0,103.17369165654189,20.0,21.251992681348025,0.6245911739281134
5.1999999999999975,130.0,105.29174656153646,20.0,21.180549049945686,0.5743156621100844
5.299999999999997,132.0,107.40299559607405,20.0,21.112490345375925,0.5277043885178578
5.399999999999997,134.0,109.50776727814139,20.0,21.04771682067335,0.48451405855002605
5.4999999999999964,136.0,111.60637980514926,20.0,20.986125270078745,0.4445159011852624
5.599999999999996,138.0,113.69914080462037,20.0,20.927609994711045,0.40749492477199567
5.699999999999996,140.0,115.78634717013713,20.0,20.87206365516759,0.37324920066858525
5.799999999999995,142.0,117.86828497228603,20.0,20.819378021488948,0.34158917469527594
5.899999999999995,144.0,119.94522943529414,20.0,20.769444630081082,0.31233700622501814
5.999999999999995,146.0,122.01744497093472,20.0,20.722155356405835,0.2853259346247796
6.099999999999994,148.0,124.08518526208735,20.0,20.67740291152634,0.26039967265944597
6.199999999999994,150.0,126.14869338907971,20.0,20.635081269923546,0.2374118263863103
6.299999999999994,152.0,128.20820199261766,20.0,20.5950860353795,0.2162253409967434
6.399999999999993,154.0,130.26393346773258,20.0,20.55731475114928,0.1967119720028414
6.499999999999993,156.0,132.3161001837439,20.0,20.521667160113246,0.17875178111813383
6.5999999999999925,158.0,134.36490472575505,20.0,20.488045420111327,0.16223265614284088
6.699999999999992,160.0,136.41054015367595,20.0,20.4563542792091,0.14704985413361982
6.799999999999992,162.0,138.45319027519878,20.0,20.42650121522812,0.1331055671149457
6.8999999999999915,164.0,140.49302992954762,20.0,20.398396543488527,0.1203085095730998
6.999999999999991,166.0,142.53022527918338,20.0,20.371953496357637,0.10857352696385547
7.099999999999991,168.0,144.56493410697058,20.0,20.347088277871975,0.09782122445897912
7.19999999999999,170.0,146.59730611661058,20.0,20.32372009640009,0.08797761515744185
